split,domain,model,selected,diagnostic_only,n_tasks,spearman_ci_low,spearman_ci_high,risk_at_50_ci_low,risk_at_50_ci_high,spearman,pearson,mae,risk_at_25,risk_at_50,risk_at_75,risk_at_100,full_risk,relative_risk_reduction_at_50
FINAL,quadratic_gaussian,B6_selected_proposed,True,False,20,0.3438873621570972,0.946648371663511,0.19754366359876105,0.2880196729684559,0.7473684210526315,0.8286785347750791,0.0657769514412967,0.23164599518422607,0.23617906794818339,0.2574485423018432,0.3059513266581716,0.3059513266581716,0.22805019174812158
FINAL,quadratic_gaussian,M2_AdditiveSpline,False,True,20,0.44072337660242744,0.9501456619094105,0.198401437999264,0.29187282495116057,0.7894736842105263,0.845220543274934,0.062107205643067084,0.19205162248640506,0.2472901790592945,0.2570483822378176,0.30595132665817165,0.30595132665817165,0.19173359448909047
FINAL,quadratic_gaussian,M3_RandomForest,False,True,20,0.3495755403061891,0.9485794833003606,0.19902921360192724,0.29165024361576064,0.7473684210526315,0.8286785347750791,0.0657769514412967,0.23164599518422607,0.23617906794818339,0.2574485423018432,0.3059513266581716,0.3059513266581716,0.22805019174812158
FINAL,quadratic_gaussian,M4_HistGradientBoosting,False,True,20,0.40347488183694613,0.9557656708934548,0.1981468667395441,0.3004031737219848,0.7684210526315788,0.8051920440801426,0.072441697115296,0.2242775741315945,0.23675171167872183,0.26585695071025156,0.30595132665817165,0.30595132665817165,0.22617850929198305
FINAL,quadratic_student_t3,B0_constant,False,False,20,0.0,0.0,0.23732731374503835,0.37038074676658245,,,0.12345255041838021,0.302158834169009,0.302158834169009,0.302158834169009,0.302158834169009,0.302158834169009,0.0
FINAL,quadratic_student_t3,B1_metadata_ridge,False,False,20,-0.406563536824803,0.5878382990802444,0.19244919310210729,0.35190292493809117,0.1286197909686896,0.1646434996126022,0.13936489815958625,0.2983574879227053,0.2801686369945893,0.2771016719748875,0.302158834169009,0.302158834169009,0.07277694605519867
FINAL,quadratic_student_t3,B2_ood_only,False,False,20,-0.5979819264902765,0.436912870461337,0.231693299454169,0.44535437022507945,-0.15644980421922475,-0.029523196092461356,0.15592012965489652,0.35926634768740023,0.3266896600306211,0.3268393281573321,0.302158834169009,0.302158834169009,-0.08118520158140094
FINAL,quadratic_student_t3,B3_confidence_ridge,False,False,20,0.18912043951354812,0.8272759961461703,0.15469261695906433,0.35856027998190465,0.5934562285046555,0.5197855731113614,0.09592964512195583,0.1755263157894737,0.24567916002126527,0.27979714877884215,0.302158834169009,0.302158834169009,0.18692047943285517
FINAL,quadratic_student_t3,B4_threshold_aware_ridge,False,False,20,0.5063646885998346,0.9223934627844378,0.14885964912280705,0.2630204660476399,0.7957879464612491,0.7922544892235714,0.09019884737896923,0.15330409356725144,0.20699355712513606,0.24370692321493237,0.302158834169009,0.302158834169009,0.31495116568606885
FINAL,quadratic_student_t3,B5_proposed_ridge,False,False,20,0.4630827594357979,0.9193394562058944,0.15254163343965974,0.26727438071188075,0.776231720933846,0.8228064164824712,0.0882170926301634,0.14885964912280703,0.2069935571251361,0.24370692321493237,0.302158834169009,0.302158834169009,0.31495116568606873
FINAL,quadratic_student_t3,B6_selected_proposed,True,False,20,0.38928815488666985,0.906096568761445,0.15528478867623607,0.2865391693440893,0.7348627823181856,0.7516224670410873,0.09214246027935309,0.1755263157894737,0.2069935571251361,0.2437069232149324,0.30215883416900896,0.30215883416900896,0.3149511656860686
FINAL,quadratic_student_t3,M2_AdditiveSpline,False,True,20,0.4263802333539353,0.9181618780315984,0.15278583611807298,0.2640073140367258,0.7634449580890056,0.8709249929199138,0.07797856769911501,0.22351851851851853,0.19400654413812307,0.23820030833065337,0.302158834169009,0.302158834169009,0.35793191461147955
FINAL,quadratic_student_t3,M3_RandomForest,False,True,20,0.3840311804839849,0.9040492799279929,0.15385197368421052,0.28869629917184264,0.7348627823181856,0.7516224670410873,0.09214246027935309,0.1755263157894737,0.2069935571251361,0.2437069232149324,0.30215883416900896,0.30215883416900896,0.3149511656860686
FINAL,quadratic_student_t3,M4_HistGradientBoosting,False,True,20,0.4305071886854306,0.9541184351844902,0.14059936299081038,0.27664002211556554,0.7890184837786864,0.7217489761228357,0.0908674189106694,0.1485421888053467,0.20487715500873396,0.24823240241081831,0.302158834169009,0.302158834169009,0.32195543588132086
