dataset_id,base_seed,lambda,n_samples,n_variables,edge_count,cdfm_f1,lingam_f1,cdfm_precision,lingam_precision,cdfm_recall,lingam_recall,cdfm_shd,lingam_shd,cdfm_runtime_sec,lingam_runtime_sec,cdfm_threshold,winner,winner_margin,raw_prediction_path
seed_18_lambda_0p75,18,0.75,1000,10,11,0.7857142857142858,0.13333333333333333,0.6470588235294118,0.10526315789473684,1.0,0.18181818181818182,6,18,1.8485051000025123,0.21230230000219308,0.6743570178718508,cdfm,0.6523809523809525,results/raw_predictions/seed_18_lambda_0p75.npz
seed_18_lambda_1p00,18,1.0,1000,10,11,0.7333333333333334,0.0,0.5789473684210527,0.0,1.0,0.0,8,21,1.9951633000018774,0.21549010000308044,0.6607531204145494,cdfm,0.7333333333333334,results/raw_predictions/seed_18_lambda_1p00.npz
seed_19_lambda_0p00,19,0.0,1000,10,11,0.9166666666666666,1.0,0.8461538461538461,1.0,1.0,1.0,2,0,1.9926196000014897,0.2344709999888437,0.7359575286938413,lingam,0.08333333333333337,results/raw_predictions/seed_19_lambda_0p00.npz
seed_19_lambda_0p25,19,0.25,1000,10,11,0.846153846153846,1.0,0.7333333333333333,1.0,1.0,1.0,4,0,1.9259362999873701,0.19646399999328423,0.6949984916179257,lingam,0.15384615384615397,results/raw_predictions/seed_19_lambda_0p25.npz
seed_19_lambda_0p50,19,0.5,1000,10,11,0.88,0.9523809523809523,0.7857142857142857,1.0,1.0,0.9090909090909091,3,1,1.9069848000071943,0.21117659998708405,0.6344371940401381,lingam,0.07238095238095232,results/raw_predictions/seed_19_lambda_0p50.npz
seed_19_lambda_0p75,19,0.75,1000,10,11,0.7142857142857143,0.23529411764705885,0.5882352941176471,0.3333333333333333,0.9090909090909091,0.18181818181818182,8,9,2.0000255000049947,0.2337091999943368,0.6469056105372557,cdfm,0.4789915966386554,results/raw_predictions/seed_19_lambda_0p75.npz
seed_19_lambda_1p00,19,1.0,1000,10,11,0.6206896551724137,0.10526315789473685,0.5,0.125,0.8181818181818182,0.09090909090909091,11,11,1.855606599987368,0.2291473999939626,0.6868770550160918,cdfm,0.5154264972776769,results/raw_predictions/seed_19_lambda_1p00.npz
seed_20_lambda_0p00,20,0.0,1000,10,7,0.8235294117647058,1.0,0.7,1.0,1.0,1.0,3,0,1.9084115000005113,0.21027900000626687,0.7794376965041028,lingam,0.17647058823529416,results/raw_predictions/seed_20_lambda_0p00.npz
seed_20_lambda_0p25,20,0.25,1000,10,7,0.8750000000000001,1.0,0.7777777777777778,1.0,1.0,1.0,2,0,1.84879259999434,0.21052419999614358,0.7849510094813993,lingam,0.12499999999999989,results/raw_predictions/seed_20_lambda_0p25.npz
seed_20_lambda_0p50,20,0.5,1000,10,7,0.7000000000000001,0.7142857142857143,0.5384615384615384,0.7142857142857143,1.0,0.7142857142857143,6,2,1.9188962999905925,0.2083332999900449,0.7018683682216513,lingam,0.014285714285714235,results/raw_predictions/seed_20_lambda_0p50.npz
seed_20_lambda_0p75,20,0.75,1000,10,7,0.631578947368421,0.3333333333333333,0.5,0.4,0.8571428571428571,0.2857142857142857,6,5,1.8764919999957783,0.2018404999980703,0.6842185216591412,cdfm,0.2982456140350877,results/raw_predictions/seed_20_lambda_0p75.npz
seed_20_lambda_1p00,20,1.0,1000,10,7,0.6666666666666665,0.0,0.5454545454545454,0.0,0.8571428571428571,0.0,6,7,1.8786748999991687,0.21149370000057388,0.7378711526607962,cdfm,0.6666666666666665,results/raw_predictions/seed_20_lambda_1p00.npz
seed_21_lambda_0p00,21,0.0,1000,10,8,0.75,0.9411764705882353,0.75,0.8888888888888888,0.75,1.0,4,1,1.8826064000022598,0.21785470000759233,0.7962023217445633,lingam,0.19117647058823528,results/raw_predictions/seed_21_lambda_0p00.npz
seed_21_lambda_0p25,21,0.25,1000,10,8,0.9333333333333333,1.0,1.0,1.0,0.875,1.0,1,0,1.9160122999892337,0.2136164999974426,0.7725615465305155,lingam,0.06666666666666665,results/raw_predictions/seed_21_lambda_0p25.npz
seed_21_lambda_0p50,21,0.5,1000,10,8,0.9411764705882353,0.5,0.8888888888888888,0.5,1.0,0.5,1,5,1.879865199996857,0.21558099999674596,0.758069426010465,cdfm,0.4411764705882353,results/raw_predictions/seed_21_lambda_0p50.npz
seed_21_lambda_0p75,21,0.75,1000,10,8,0.9411764705882353,0.22222222222222224,0.8888888888888888,0.2,1.0,0.25,1,8,1.9546055999962846,0.21365470001182985,0.7263493050101425,cdfm,0.7189542483660131,results/raw_predictions/seed_21_lambda_0p75.npz
seed_21_lambda_1p00,21,1.0,1000,10,8,0.8,0.11111111111111112,0.6666666666666666,0.1,1.0,0.125,4,11,1.905620200006524,0.20862659999693278,0.7287943221960347,cdfm,0.6888888888888889,results/raw_predictions/seed_21_lambda_1p00.npz
seed_22_lambda_0p00,22,0.0,1000,10,15,0.7878787878787877,1.0,0.7222222222222222,1.0,0.8666666666666667,1.0,7,0,1.911617899997509,0.22528359999705572,0.6889439097535452,lingam,0.21212121212121227,results/raw_predictions/seed_22_lambda_0p00.npz
seed_22_lambda_0p25,22,0.25,1000,10,15,0.7000000000000001,1.0,0.56,1.0,0.9333333333333333,1.0,12,0,1.8822439000068698,0.20585149999533314,0.6241559082811661,lingam,0.29999999999999993,results/raw_predictions/seed_22_lambda_0p25.npz
seed_22_lambda_0p50,22,0.5,1000,10,15,0.5714285714285713,0.29411764705882354,0.4117647058823529,0.2631578947368421,0.9333333333333333,0.3333333333333333,18,15,1.9007309000007808,0.22253420000197366,0.5549034766766299,cdfm,0.27731092436974775,results/raw_predictions/seed_22_lambda_0p50.npz
seed_22_lambda_0p75,22,0.75,1000,10,15,0.5853658536585367,0.11764705882352941,0.46153846153846156,0.10526315789473684,0.8,0.13333333333333333,15,21,1.8920325999933993,0.20820500000263564,0.5972724788694709,cdfm,0.4677187948350072,results/raw_predictions/seed_22_lambda_0p75.npz
seed_22_lambda_1p00,22,1.0,1000,10,15,0.5714285714285715,0.19354838709677422,0.5,0.1875,0.6666666666666666,0.2,13,18,1.9405379999952856,0.21776309999404475,0.6335939102570407,cdfm,0.37788018433179726,results/raw_predictions/seed_22_lambda_1p00.npz
seed_23_lambda_0p00,23,0.0,1000,10,12,0.9565217391304348,1.0,1.0,1.0,0.9166666666666666,1.0,1,0,1.926877499994589,0.2163410999928601,0.8036266153520283,lingam,0.04347826086956519,results/raw_predictions/seed_23_lambda_0p00.npz
seed_23_lambda_0p25,23,0.25,1000,10,12,0.9600000000000001,1.0,0.9230769230769231,1.0,1.0,1.0,1,0,1.9782816999941133,0.21116890000121202,0.778731563592964,lingam,0.039999999999999925,results/raw_predictions/seed_23_lambda_0p25.npz
seed_23_lambda_0p50,23,0.5,1000,10,12,0.8333333333333334,0.64,0.8333333333333334,0.6153846153846154,0.8333333333333334,0.6666666666666666,4,6,1.9043073000066215,0.21187389999977313,0.7337433995138298,cdfm,0.19333333333333336,results/raw_predictions/seed_23_lambda_0p50.npz
seed_23_lambda_0p75,23,0.75,1000,10,12,0.888888888888889,0.08695652173913043,0.8,0.09090909090909091,1.0,0.08333333333333333,3,13,1.9612369000096805,0.21752210000704508,0.6979670412577487,cdfm,0.8019323671497585,results/raw_predictions/seed_23_lambda_0p75.npz
seed_23_lambda_1p00,23,1.0,1000,10,12,0.9090909090909091,0.0909090909090909,1.0,0.1,0.8333333333333334,0.08333333333333333,2,13,1.8610162999975728,0.21057360000850167,0.7660135310652478,cdfm,0.8181818181818181,results/raw_predictions/seed_23_lambda_1p00.npz
seed_24_lambda_0p00,24,0.0,1000,10,11,0.9523809523809523,0.9565217391304348,1.0,0.9166666666666666,0.9090909090909091,1.0,1,1,1.9154042000009213,0.2154861000017263,0.7987484523352283,lingam,0.0041407867494824835,results/raw_predictions/seed_24_lambda_0p00.npz
seed_24_lambda_0p25,24,0.25,1000,10,11,0.8695652173913043,0.9166666666666666,0.8333333333333334,0.8461538461538461,0.9090909090909091,1.0,3,2,1.8746410999883665,0.2097658999991836,0.7611710620137954,lingam,0.047101449275362306,results/raw_predictions/seed_24_lambda_0p25.npz
seed_24_lambda_0p50,24,0.5,1000,10,11,0.8695652173913043,0.7826086956521738,0.8333333333333334,0.75,0.9090909090909091,0.8181818181818182,3,4,1.9339257999963593,0.21324060000188183,0.7432475581808398,cdfm,0.08695652173913049,results/raw_predictions/seed_24_lambda_0p50.npz
seed_24_lambda_0p75,24,0.75,1000,10,11,0.5161290322580645,0.2727272727272727,0.4,0.2727272727272727,0.7272727272727273,0.2727272727272727,12,10,1.8899379999929806,0.21957780000229832,0.625752175268182,cdfm,0.2434017595307918,results/raw_predictions/seed_24_lambda_0p75.npz
seed_24_lambda_1p00,24,1.0,1000,10,11,0.5806451612903226,0.0,0.45,0.0,0.8181818181818182,0.0,10,15,2.003415099999984,0.22242199999163859,0.6680674265772599,cdfm,0.5806451612903226,results/raw_predictions/seed_24_lambda_1p00.npz
seed_25_lambda_0p00,25,0.0,1000,10,14,0.6875000000000001,1.0,0.6111111111111112,1.0,0.7857142857142857,1.0,10,0,1.8802400999993552,0.2149074000044493,0.7709495093395045,lingam,0.3124999999999999,results/raw_predictions/seed_25_lambda_0p00.npz
seed_25_lambda_0p25,25,0.25,1000,10,14,0.7999999999999999,1.0,0.75,1.0,0.8571428571428571,1.0,6,0,1.9081998000037856,0.2163262000103714,0.7682172070962618,lingam,0.20000000000000007,results/raw_predictions/seed_25_lambda_0p25.npz
seed_25_lambda_0p50,25,0.5,1000,10,14,0.6875000000000001,0.6451612903225806,0.6111111111111112,0.5882352941176471,0.7857142857142857,0.7142857142857143,10,7,1.8916907999955583,0.2037207999965176,0.7428791124309589,cdfm,0.042338709677419484,results/raw_predictions/seed_25_lambda_0p50.npz
seed_25_lambda_0p75,25,0.75,1000,10,14,0.75,0.18181818181818182,0.6666666666666666,0.15789473684210525,0.8571428571428571,0.21428571428571427,8,19,1.9247753999952693,0.20695510000223294,0.7064524831158638,cdfm,0.5681818181818181,results/raw_predictions/seed_25_lambda_0p75.npz
seed_25_lambda_1p00,25,1.0,1000,10,14,0.6470588235294117,0.17142857142857143,0.55,0.14285714285714285,0.7857142857142857,0.21428571428571427,12,22,1.8902481999975862,0.2183653999964008,0.6933374737935721,cdfm,0.47563025210084026,results/raw_predictions/seed_25_lambda_1p00.npz
seed_26_lambda_0p00,26,0.0,1000,10,10,0.8695652173913044,1.0,0.7692307692307693,1.0,1.0,1.0,3,0,1.9225451999955112,0.19986969999445137,0.7380758037085905,lingam,0.13043478260869557,results/raw_predictions/seed_26_lambda_0p00.npz
seed_26_lambda_0p25,26,0.25,1000,10,10,0.8695652173913044,1.0,0.7692307692307693,1.0,1.0,1.0,3,0,1.884765900002094,0.21398329999647103,0.7155760883089218,lingam,0.13043478260869557,results/raw_predictions/seed_26_lambda_0p25.npz
seed_26_lambda_0p50,26,0.5,1000,10,10,0.8181818181818182,0.6363636363636365,0.75,0.5833333333333334,0.9,0.7,4,6,1.9494913000089582,0.2179007999948226,0.6830034042848199,cdfm,0.18181818181818177,results/raw_predictions/seed_26_lambda_0p50.npz
seed_26_lambda_0p75,26,0.75,1000,10,10,0.6428571428571429,0.3,0.5,0.3,0.9,0.3,10,11,1.8857332000043243,0.20480540000426117,0.6168489350719265,cdfm,0.3428571428571429,results/raw_predictions/seed_26_lambda_0p75.npz
seed_26_lambda_1p00,26,1.0,1000,10,10,0.7,0.34782608695652173,0.7,0.3076923076923077,0.7,0.4,5,10,1.9246856000099797,0.2112454999878537,0.7103648400476701,cdfm,0.3521739130434782,results/raw_predictions/seed_26_lambda_1p00.npz
seed_27_lambda_0p00,27,0.0,1000,10,12,0.8571428571428571,1.0,0.75,1.0,1.0,1.0,4,0,1.914061399991624,0.234545999992406,0.7315187369051428,lingam,0.1428571428571429,results/raw_predictions/seed_27_lambda_0p00.npz
seed_27_lambda_0p25,27,0.25,1000,10,12,1.0,1.0,1.0,1.0,1.0,1.0,0,0,1.9125856000027852,0.2122003999975277,0.7333201999322935,tie,0.0,results/raw_predictions/seed_27_lambda_0p25.npz
seed_27_lambda_0p50,27,0.5,1000,10,12,0.888888888888889,0.4827586206896552,0.8,0.4117647058823529,1.0,0.5833333333333334,2,11,1.921805999998469,0.22108109999680892,0.701394800836795,cdfm,0.40613026819923376,results/raw_predictions/seed_27_lambda_0p50.npz
seed_27_lambda_0p75,27,0.75,1000,10,12,0.8,0.2608695652173913,0.7692307692307693,0.2727272727272727,0.8333333333333334,0.25,5,12,1.9199479000089923,0.2191748000041116,0.6925578117951237,cdfm,0.5391304347826087,results/raw_predictions/seed_27_lambda_0p75.npz
seed_27_lambda_1p00,27,1.0,1000,10,12,0.7826086956521738,0.24000000000000002,0.8181818181818182,0.23076923076923078,0.75,0.25,5,13,1.9436485999904107,0.2121082999947248,0.7220319345185234,cdfm,0.5426086956521738,results/raw_predictions/seed_27_lambda_1p00.npz
