dataset_id,base_seed,lambda,mean_abs_skewness,mean_abs_excess_kurtosis,mean_abs_pearson_correlation,mean_abs_spearman_correlation,nonlinearity_gain_median,nonlinearity_gain_mean,nonlinearity_gain_max
seed_23_lambda_0p00,23,0.0,0.21916979730362368,2.5354112847807513,0.18509152424669667,0.17381549248215922,-0.008411603835379361,-0.010686186053791461,0.012151776891109151
seed_23_lambda_0p25,23,0.25,0.3116476681937391,2.775949189991411,0.14863712062767526,0.14186324079657414,0.006393915899301675,0.006530344821411249,0.0629428165483849
seed_23_lambda_0p50,23,0.5,0.3661157129842091,2.9592224717367444,0.09710148907248801,0.09293761693761696,0.02918055881372112,0.04059829451512146,0.1958056504178917
seed_23_lambda_0p75,23,0.75,0.32603146813149586,2.79100779203081,0.06989500635156577,0.07654139707473041,0.012078964756446615,0.04502878896687192,0.2368003663681342
seed_23_lambda_1p00,23,1.0,0.3500302418984587,2.735031619041866,0.07264101677306149,0.07874815581482249,0.020266480182899765,0.11004099159314136,0.45373284307602746
seed_24_lambda_0p00,24,0.0,0.2604641909247426,2.393585817450801,0.2602873686662814,0.24678781105447775,-0.0202744130728572,-0.16776491630467533,0.01075233682703632
seed_24_lambda_0p25,24,0.25,0.3016515604207092,2.702587753373205,0.18914318586006051,0.17487394234060902,0.007282395077436196,0.0015317468386319498,0.03809342288547951
seed_24_lambda_0p50,24,0.5,0.34998556855205787,2.7651587064049314,0.11342639630752509,0.098455580322247,0.020734804461277116,0.041006383758100416,0.1715899402517294
seed_24_lambda_0p75,24,0.75,0.3272057275962893,2.4731077208325334,0.07249456949484559,0.06440445213778546,0.010124688543663586,0.0675820412415955,0.3170808304498871
seed_24_lambda_1p00,24,1.0,0.3967834751350122,2.271304092504437,0.07022167424039305,0.0755525734192401,0.013611048441067301,0.08069008381783485,0.45972266068680245
seed_25_lambda_0p00,25,0.0,0.12860193471373932,1.2840071117867153,0.3444647584825411,0.3297007718341052,-0.0074054951629706645,-0.009752507330205423,0.015487127426542426
seed_25_lambda_0p25,25,0.25,0.1816390889970905,1.4588659648956808,0.27332180309771326,0.2696924675591342,0.020904512244637616,0.015364293826315541,0.0513709677714683
seed_25_lambda_0p50,25,0.5,0.20334449256577408,1.4940064080771602,0.18928631377915742,0.18752911712911713,0.05408560361126294,0.061969499639597504,0.165171267634443
seed_25_lambda_0p75,25,0.75,0.1570705996492181,1.2023268819821589,0.1460111926181097,0.18114448221114887,0.05521807389481133,0.09572064287205162,0.33229331587160066
seed_25_lambda_1p00,25,1.0,0.22673236752675,0.9159667563019905,0.13815655651027461,0.16908354615021284,0.06387336991418957,0.12230103479925516,0.45483236744319877
seed_26_lambda_0p00,26,0.0,0.1229550786944705,2.269949000119093,0.18394175774371277,0.17542464849131514,-0.005784406896001683,-0.009637677447454555,0.02211048554979647
seed_26_lambda_0p25,26,0.25,0.17291909456050042,2.39854043771902,0.14919826652169466,0.14438220224886888,0.007432742017296775,0.008708398493298481,0.06673767121634512
